"","Date","total_volume","temperature","average_price"
"1",2015-01-01,4623953.17,-8.77777777777778,1.6525
"2",2015-02-01,5267939.13,-12.6666666666667,1.645
"3",2015-03-01,6031017.72,-3.61111111111111,1.649
"4",2015-04-01,5037854.94,6.27777777777778,1.74375
"5",2015-05-01,8161470.84,16.1111111111111,1.7
"6",2015-06-01,6117156.02,17.2222222222222,1.7325
"7",2015-07-01,5515607.05,20.0555555555556,1.68375
"8",2015-08-01,7366832.01,19.7222222222222,1.662
"9",2015-09-01,5282471.86,18.3333333333333,1.6425
"10",2015-10-01,5403265.46,8.55555555555556,1.63625
"11",2015-11-01,7118530.48,6,1.493
"12",2015-12-01,4681537.23,4.05555555555555,1.5125
"13",2016-01-01,7832537.77,-4.61111111111111,1.455
"14",2016-02-01,7036325.82,-2.94444444444444,1.54
"15",2016-03-01,6337612.92,3.16666666666667,1.585
"16",2016-04-01,5145734.94,5.16666666666667,1.62125
"17",2016-05-01,9605379.54,13.1666666666667,1.569
"18",2016-06-01,6064601.64,17.8333333333333,1.77375
"19",2016-07-01,6131290.61,21.3333333333333,1.98
"20",2016-08-01,5182631.87,21.6111111111111,1.9
"21",2016-09-01,5199484.33,17.1666666666667,1.845
"22",2016-10-01,4598419.81,10.2777777777778,2.07
"23",2016-11-01,3792194.71,4.55555555555556,2.06375
"24",2016-12-01,4620349.18,-2.44444444444444,1.735
"25",2017-01-01,7069711.28,-2.27777777777778,1.754
"26",2017-02-01,7423414.47,-0.777777777777777,1.55
"27",2017-03-01,5390057.49,-2.11111111111111,1.835
"28",2017-04-01,6763712.48,9.33333333333333,1.888
"29",2017-05-01,6190114.26,12.2222222222222,2.05875
"30",2017-06-01,5902748.89,17.7222222222222,1.9475
"31",2017-07-01,7050664.08,20.0555555555556,1.843
"32",2017-08-01,5029360.93,18.6666666666667,1.8325
"33",2017-09-01,4876032.97,16.8333333333333,1.8775
"34",2017-10-01,6296145.19,12.6666666666667,1.853
"35",2017-11-01,5264982.75,2.33333333333333,1.73875
"36",2017-12-01,7593728.52,-5.22222222222222,1.575
"37",2018-01-01,8604009.4,-7.16666666666667,1.651
"38",2018-02-01,8820238.33,-1.44444444444445,1.49
"39",2018-03-01,7576004.18,-1.16666666666667,1.565
"40",2018-04-01,11396242.87,3.22222222222222,1.555
"41",2018-05-01,11121547.39,15.5555555555556,1.5275
"42",2018-06-01,9403712.26,17.4444444444444,1.525
"43",2018-07-01,10758629.84,21.7777777777778,1.528
"44",2018-08-01,7532699.66,21.3333333333333,1.5425
"45",2018-09-01,8529868.97,17.5555555555556,1.669
"46",2018-10-01,7140383.42,8.72222222222222,1.53
"47",2018-11-01,5733215.65,0.722222222222221,1.5775
"48",2018-12-01,992202.03,-1.94444444444444,1.735
"49",2019-01-01,8371742.33,-7,1.4325
"50",2019-02-01,9057843.4,-4.33333333333333,1.40875
"51",2019-03-01,11109435.44,-1.38888888888889,1.421
"52",2019-04-01,7768997.58,6.94444444444444,1.5875
"53",2019-05-01,7860180.46,12.3333333333333,1.7875
"54",2019-06-01,8820753.63,17.1666666666667,1.844
"55",2019-07-01,6799686.34,21.6666666666667,1.92625
"56",2019-08-01,6650681.15,19.2222222222222,1.85
"57",2019-09-01,9078294.41,15.7222222222222,1.677
"58",2019-10-01,7383702.35,10.1111111111111,1.6275
"59",2019-11-01,7199034.7,0.444444444444443,1.46625
"60",2019-12-01,7897186.32,-2.61111111111111,1.523
"61",2020-01-01,8393223.32,-2.38888888888889,1.4525
"62",2020-02-01,8931072.9,-3,1.49125
"63",2020-03-01,10485798.34,2.88888888888889,1.691
"64",2020-04-01,9499115.73,5,1.66875
"65",2020-05-01,13738261.42,12.2777777777778,1.674
"66",2020-06-01,10657698.68,18.3888888888889,1.65125
"67",2020-07-01,11060849.42,22.7222222222222,1.515
"68",2020-08-01,12711322.45,20.2777777777778,1.468
"69",2020-09-01,9800470.58,15.2777777777778,1.42625
"70",2020-10-01,9248695.23,9.44444444444444,1.3575
"71",2020-11-01,11107571.65,5.44444444444444,1.374
